Identifier 1,Amount,%H,dD,Analysis,Run #,status
o1783-03345j,0.47,7.8,-71,2021,VH2_0020,u
o1783-64476j,0.5,7.9,-81,2018,VH2_0020,n
o1783-64494j,0.55,9.5,-69,1972,VH2_0019,r
o1783-64497P,0.49,6.7,-44,1780,VH2_0016,r
o1783-64525P,0.48,7.1,-60,1785,VH2_0016,r
o1783-74347P,0.5,7.2,-70,1786,VH2_0016,r
o1783-74362j,0.52,8.4,-84,1909,VH2_0018,n
o1783-74362p,0.53,8.1,-87,1905,VH2_0018,n
o1783-74373P,0.53,6.6,-49,1783,VH2_0016,r
o1783-74375j,0.54,7.9,-66,1913,VH2_0018,n
o1783-74375p,0.46,9.3,-71,1912,VH2_0018,n
o1783-74376p,0.51,8.9,-81,1915,VH2_0018,n
o1783-74377p,0.47,9.5,-74,1914,VH2_0018,n
o1783-74378j,0.5,9.1,-70,1911,VH2_0018,n
o1783-74378p,0.45,9.2,-62,1910,VH2_0018,n
o1783-74379j,0.45,11.3,-74,1965,VH2_0019,n
o1783-74379p,0.5,9.7,-78,1964,VH2_0019,n
o1783-74380p,0.48,9.4,-61,1901,VH2_0018,n
o1783-74381p,0.5,8.8,-76,1897,VH2_0018,n
o1783-74390p,0.46,9.3,-76,1903,VH2_0018,n
o1783-74391p,0.47,8.3,-67,1852,VH2_0017,n
o1783-74392p,0.47,9.3,-66,1893,VH2_0018,n
o1783-74393j,0.51,7.6,-70,1854,VH2_0017,n
o1783-74393p,0.5,8.6,-73,1853,VH2_0017,n
o1783-74395j,0.54,7.7,-82,1844,VH2_0017,n
o1783-74395p,0.46,7.9,-75,1841,VH2_0017,n
o1783-74396j,0.52,7.9,-68,1849,VH2_0017,n
o1783-74396p,0.5,7.8,-69,1848,VH2_0017,n
o1783-74400p,0.47,8.5,-64,1850,VH2_0017,n
o1783-74401j,0.5,8.0,-74,1847,VH2_0017,n
o1783-74401p,0.52,8.5,-81,1846,VH2_0017,n
o1783-74402p,0.53,7.6,-77,1845,VH2_0017,n
o1783-74403p,0.46,8.4,-59,1851,VH2_0017,n
o1833-03134j,0.5,10.2,-63,1971,VH2_0019,n
o1833-03288P,0.47,7.9,-61,1781,VH2_0016,r
o1833-03314j,0.54,7.6,-70,2077,VH2_0021,n
o1833-03325j,0.46,8.5,-71,2078,VH2_0021,n
o1833-03325p,0.49,8.8,-57,1919,VH2_0018,n
o1833-03327j,0.51,8.1,-69,2079,VH2_0021,n
o1833-03328j,0.54,7.2,-66,2080,VH2_0021,n
o1833-03329j,0.51,7.2,-72,1798,VH2_0016,n
o1833-03332j,0.54,7.8,-67,2081,VH2_0021,n
o1833-03333j,0.53,7.7,-65,2082,VH2_0021,n
o1833-03334j,0.49,8.8,-67,2083,VH2_0021,n
o1833-03335j,0.48,8.3,-70,2087,VH2_0021,n
o1833-03336j,0.53,7.6,-65,2088,VH2_0021,n
o1833-03336p,0.52,9.2,-54,1958,VH2_0019,n
o1833-03337j,0.46,8.8,-64,2089,VH2_0021,n
o1833-03338j,0.54,7.5,-65,2090,VH2_0021,n
o1833-03339j,0.49,9.3,-69,2091,VH2_0021,n
o1833-03340j,0.51,7.0,-83,1789,VH2_0016,n
o1833-03340j,0.5,8.1,-76,2092,VH2_0021,n
o1833-03341j,0.51,8.3,-69,2093,VH2_0021,n
o1833-03343j,0.54,6.9,-70,2019,VH2_0020,n
o1833-03344j,0.51,7.1,-78,2020,VH2_0020,n
o1833-03346j,0.46,8.1,-74,2022,VH2_0020,n
o1833-03347j,0.53,6.7,-75,2023,VH2_0020,n
o1833-03348j,0.52,7.0,-74,2024,VH2_0020,n
o1833-03349j,0.45,8.6,-80,2041,VH2_0020,n
o1833-03352j,0.5,7.9,-75,2042,VH2_0020,n
o1833-03356j,0.52,7.4,-82,2043,VH2_0020,n
o1833-03357j,0.54,7.1,-94,2044,VH2_0020,n
o1833-03358j,0.53,7.5,-72,2071,VH2_0021,n
o1833-03359j,0.51,7.5,-62,2072,VH2_0021,n
o1833-03360j,0.5,8.4,-67,2073,VH2_0021,n
o1833-03363j,0.47,8.6,-76,2074,VH2_0021,n
o1833-03367P,0.53,6.6,-72,1782,VH2_0016,n
o1833-03368P,0.46,7.5,-44,1784,VH2_0016,r
o1833-03377p,0.54,8.2,-72,1904,VH2_0018,n
o1833-03401j,0.46,9.4,-73,1896,VH2_0018,n
o1833-03401p,0.51,8.3,-72,1895,VH2_0018,n
o1833-03402p,0.52,8.4,-80,1894,VH2_0018,n
o1833-03405p,0.46,9.5,-73,1902,VH2_0018,n
o1833-03406p,0.49,8.7,-72,1898,VH2_0018,n
o1833-03409j,0.5,9.3,-77,1918,VH2_0018,n
o1833-03409p,0.53,8.2,-74,1917,VH2_0018,n
o1833-03410j,0.54,9.1,-46,1953,VH2_0019,n
o1833-03410p,0.46,10.1,-64,1952,VH2_0019,n
o1833-03411j,0.54,9.1,-63,1955,VH2_0019,n
o1833-03411p,0.53,9.1,-65,1954,VH2_0019,n
o1833-03412p,0.45,10.7,-72,1956,VH2_0019,n
o1833-03413p,0.47,10.0,-64,1957,VH2_0019,n
o1833-03414j,0.46,10.3,-73,1963,VH2_0019,n
o1833-03414p,0.48,10.3,-65,1962,VH2_0019,n
o1833-03415j,0.47,10.6,-64,1970,VH2_0019,n
o1833-03415p,0.52,9.5,-69,1969,VH2_0019,n
o1833-03416p,0.53,9.8,-19,1968,VH2_0019,n
o1833-03417p,0.51,9.8,-48,1967,VH2_0019,n
o1833-03418p,0.47,10.5,-65,1966,VH2_0019,n
o1833-03533P,0.54,6.7,-72,1779,VH2_0016,r
o1833-03539j,0.53,6.9,-76,1788,VH2_0016,r
o1833-03544j,0.53,6.6,-79,1799,VH2_0016,r
o1833-03545j,0.52,7.2,-80,1787,VH2_0016,r
o1833-03555j,0.53,7.5,-88,1832,VH2_0017,r
o1833-03557j,0.5,7.1,-71,1794,VH2_0016,r
o1833-03565j,0.51,5.9,-87,1792,VH2_0016,r
o1833-03571j,0.46,5.9,-75,1801,VH2_0016,r
o1833-03572j,0.5,6.9,-73,1800,VH2_0016,r
o1833-03573j,0.5,6.8,-73,1802,VH2_0016,r
o1833-03581j,0.49,7.2,-66,1795,VH2_0016,r
o1833-03587j,0.52,6.7,-85,1793,VH2_0016,r
o1833-03589j,0.48,7.7,-78,1796,VH2_0016,r
o1833-03590j,0.46,8.2,-86,1833,VH2_0017,r
o1833-03591j,0.5,8.1,-79,1830,VH2_0017,r
o1833-03592j,0.46,8.5,-72,1831,VH2_0017,r
o1833-03593j,0.53,7.2,-82,1829,VH2_0017,r
o1833-03595j,0.46,8.4,-80,2075,VH2_0021,u
o1833-04407j,0.54,8.2,-76,1900,VH2_0018,u
o1833-04407p,0.47,9.1,-70,1899,VH2_0018,u
o1833-04408p,0.5,8.8,-79,1916,VH2_0018,u
oA10-Floaterj,0.54,7.6,-30,2076,VH2_0021,u
oA29-2017p,0.52,6.7,-53,1797,VH2_0016,r
